0,ローター,200
1,バイブ,300
2,Ｅマッサージャ,1500
3,アナルバイブ,1500
4,ペニスバンド,5000
5,Ａプラグ(猫尻尾),1200
6,Ａプラグ(狐尻尾),2000
7,膣鏡,3000

10,鞭,200
11,針,1000
12,アロマポット,1000

15,いちぢく浣腸(未実装),2000

20,ローション,200
21,媚薬,4000
22,筋弛緩剤(未実装),1000
23,筋肉収縮剤(未実装),1000
24,淫核肥大化剤(未実装),1000

25,アロマ(ローズ),100
26,アロマ(サイプレス),50
27,アロマ(ジャスミン),200

30,赤いキャンディー,3000
31,黒いキャンディー,10000

40,茨の果実,1
45,ルナルナ,5000
46,発情チェッカ,2500

50,エンゲージリング,1000000
51,ペアリング,2000000

90,ローターＶ,0
91,ローターＡ,0

101,ミクサ,400
102,リン,3000
103,リトル・アリス,400
104,シャドウ・アリス,20000
105,サンドリヨン,3000
106,アシェンプテル,4500
107,ドルミール,12000
108,スカーレット,6000
109,ヴァイス,3000
110,かぐや,6000
111,ツクヨミ,8000
112,シレネッタ,1200
113,メロウ,4000
114,エピーヌ,6000

133,吉備津彦,1150
134,闇吉備津,1150
135,ピーター・ザ・キッド,750
136,ナイトメア・キッド,800
137,アイアン・フック,2000
138,デス・フック,1200
139,美猴,1600
140,大聖,4000
141,温羅,500
