1000,―――あなたの所持金は${MONEY}。$1000000突破―――
1001,・・・・・・・・・
1002,・・・・・・
1003,・・・
1004,気づくと、あなたはどこか知らない山の中にいた。
1005,星が見える。夜だ。
1006,・・・・・・
1007,解放されたらしい。
1008,・・・・・・
1009,ここはまず、地球だろう。そして日本だろう。
1010,あそこに見えるのはきっとオリオン座だ。
1011,それに、そう遠くないところに、街の灯が幾つも輝いているのが見えた。
1012,「………」
1013,あなたは、ひとつ伸びをした。
1014,生暖かい風の味が不思議とうまかった。
1015,あの狭苦しいコンピュータ・ルームやバーチャル・ルームはもう懲り懲りだ。
1016,今は……いったい、何年の何月何日だろう？
1017,時間感覚はあてにならない。
1018,ことによれば、あの星の体験自体、バーチャル・ルームだったかもしれないのだ。
1019,と、そのとき、あなたはポケットに携帯電話が入っていることに気がついた。
1020,引っ張り出す。ディスプレイを見てみる。
1021,今は…２月２日。
1022,……が、よく考えると、あの星に連れ去られたのがいつかわからない。
1023,とりあえずは、知った人間に連絡を……しかし、ここはどこだ？
1024,ふと、あなたは、携帯電話にＧＰＳの機能があることに気がついた。
1025,位置確認をしてみる……
1026,・・・・・・
1027,○○県、冬木市……か……
1028,知らない名前だが、とにかく街に出てみよう。それから電話だ。
1029,幸い、ポケットには幾らかの現金もあった。何とかなるだろう。
1030,・・・・・・
1031,ガサリ。
1032,・・・・・・？
1033,林の向こうで、何かが動く音がした。
1034,タヌキか何かだろうか。それにしては音が大きかった気がする……
1035,クマかイノシシにでも襲われたらたまらない。さっさと動こう。
1036,「………疲れたな」
1037,あなたはつぶやき、星に満ちた空を見上げる。
1038,あのどこかに、あなたが連れ去られた星があるのだろうか？
1039,それとも、何もかも幻だったのだろうか？
1040,ガサリ。ガサガサ……
1041,・・・・・・！
1042,また物音が聞こえた。
1043,わずかばかり逡巡をしてから、
1044,あなたは街の灯りに向けて走り出した。
1045,・・・・・・・・・
1046,・・・・・・
1047,・・・
1048,era wlw(minimum) -END-
1049,Thank you for your playing.
1050,(C)Nucleareal（サークル電磁枷牢) 2016
1100,―――80日経過―――
1101,・・・・・・・・・
1102,・・・・・・
1103,・・・
1104,気づくと、あなたはどこか知らない山の中にいた。
1105,星が見える。夜だ。
1106,・・・・・・
1107,これで100日だ。
1108,あのエイリアンのルールからすれば、ゲーム・オーバーのはず。
1109,ということは。
1110,ここが、あのエイリアンの星なのか……？
1111,・・・・・・
1112,「おい。いるんだろう。出て来い」
1113,あなたは闇をにらみながら言った。
1114,あの、癪に障るしゃべり方をするエイリアン。
1115,どこかであなたを見ているのは間違いない。
1116,「これから、どうする気だ」
1117,「ゲーム・オーバーになっても、どうされるのか解説される権利くらいあるだろ」
1118,・・・・・・
1119,が。
1120,いつまで経っても応答はなかった。
1121,・・・・・・
1122,「どうしろっていうんだ……」
1123,あなたは辺りを見回す。
1124,遠くには、街の光とおぼしきものも見えた。
1125,少なくとも、無人の星ではないようには見える。
1126,（というか……）
1127,周りに生えている樹木、空に見える月。
1128,あなたが慣れ親しんだものばかりに見えた。
1129,（まさか、ゲーム・オーバーで解放するようなタマじゃないだろうに……？）
1130,・・・・・・
1131,・・・
1132,あなたは警戒心を抱きつつも、街に向かって歩き出した。
1133,ここにいても、何も起こりそうにない。
1134,今後の運命がどうなろうと、まずは人のいるところに行かないとだめだ。
1135,街まで、そう遠くはない。１時間も歩けば着くだろう。
1136,「………ん？」
1137,何か、街の光の上を、影がよぎったような気がした。
1138,・・・・・・
1139,いや。
1140,気のせいではない。街の上を、確かに何かが飛んでいる。
1141,どう見ても飛行機やヘリコプターではない。鳥のはずもない。
1142,・・・・・・
1143,なんだ、あれは……？
1144,化け物……？
1145,・・・・・・
1146,……やっぱ、ここは地球じゃないかもしれないな。
1147,あなたは、落胆しつつも、半ば自棄に夜道を歩き続けた。
1148,・・・・・・・・・
1149,・・・・・・
1150,・・・
1151,era wlw(minimum) -Game Over-
1152,(C)Nucleareal（サークル電磁枷牢) 2016
